# 
# Header Description:
# 
# Version: v3.10.5 (24099-google), Manufacturer: Google, Model: Pixel 7 Pro, GNSS HW Year: 2020, Platform: 16, API Level: 36 
# 
# Raw GNSS measurements format:
#   Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# Location fix format:
#   Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation
# 
# Navigation message format:
#   Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# NMEA format (for [NMEA sentence] format see https://en.wikipedia.org/wiki/NMEA_0183):
#   NMEA,[NMEA sentence],(UTC)TimeInMs
# 
# GnssAntennaInfo format (https://developer.android.com/reference/android/location/GnssAntennaInfo):
#   GnssAntennaInfo,CarrierFrequencyMHz,PhaseCenterOffsetXOffsetMm,PhaseCenterOffsetXOffsetUncertaintyMm,PhaseCenterOffsetYOffsetMm,PhaseCenterOffsetYOffsetUncertaintyMm,PhaseCenterOffsetZOffsetMm,PhaseCenterOffsetZOffsetUncertaintyMm,PhaseCenterVariationCorrectionsArray,PhaseCenterVariationCorrectionUncertaintiesArray,PhaseCenterVariationCorrectionsDeltaPhi,PhaseCenterVariationCorrectionsDeltaTheta,SignalGainCorrectionsArray,SignalGainCorrectionUncertaintiesArray,SignalGainCorrectionsDeltaPhi,SignalGainCorrectionsDeltaTheta
# 
# GnssStatus format (https://developer.android.com/reference/android/location/GnssStatus):
#   Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# Orientation sensor format (https://developer.android.com/reference/android/hardware/SensorEvent#values):
#   OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
OrientationDeg,1769688663702,519437270041181,91.26703533031821,-15.877493603104783,-1.9711654871524114
OrientationDeg,1769688663711,519437278317569,91.2695693305003,-15.88698073586193,-1.9730416547400493
OrientationDeg,1769688663719,519437286582938,91.2716798589538,-15.894900340204561,-1.9737791017269992
OrientationDeg,1769688663727,519437294855225,91.27333959492216,-15.900326925500137,-1.974072159531075
OrientationDeg,1769688663735,519437303124929,91.27440510443267,-15.902907029459108,-1.977928868534605
OrientationDeg,1769688663744,519437311385559,91.27527936864641,-15.901069708572376,-1.9828045563849364
OrientationDeg,1769688663752,519437319666380,91.27661808572373,-15.895788264796662,-1.9862098325730109
OrientationDeg,1769688663760,519437327937600,91.2792681991217,-15.888322868033839,-1.989833034484291
OrientationDeg,1769688663769,519437336208431,91.28256035030165,-15.879018442836989,-1.994400723491737
OrientationDeg,1769688663777,519437344475217,91.28575687883324,-15.867845960902141,-1.9965682413361583
OrientationDeg,1769688663785,519437352737606,91.2889738979323,-15.855964846840903,-1.9952628214310395
OrientationDeg,1769688663794,519437361012905,91.29217042646383,-15.844276685623718,-1.992927963951953
OrientationDeg,1769688663802,519437369287085,91.29465661532174,-15.834164590557515,-1.99099373975637
OrientationDeg,1769688663810,519437377562821,91.2967603135861,-15.827122665523232,-1.9913491230366223
OrientationDeg,1769688663818,519437385838403,91.29729306834139,-15.824423033253785,-1.9956982459906278
OrientationDeg,1769688663827,519437394097386,91.29624804939834,-15.825269976710866,-2.0027928915475672
OrientationDeg,1769688663835,519437402375522,91.29456782286252,-15.830179175176813,-2.0067968765050757
OrientationDeg,1769688663843,519437410641003,91.29279880386753,-15.839101109780142,-2.0077560911966392
OrientationDeg,1769688663851,519437418917379,91.29072925654896,-15.850420440782145,-2.008227801136193
OrientationDeg,1769688663860,519437427194622,91.28907635076985,-15.862516705802237,-2.006105746738435
OrientationDeg,1769688663867,519437435449239,91.28871435074382,-15.873192291474968,-2.001862278273153
OrientationDeg,1769688663876,519437443729971,91.2903877470905,-15.881029933547557,-1.997687111699571
OrientationDeg,1769688663884,519437451997801,91.29535329461709,-15.8848241036315,-1.9915877527707495
OrientationDeg,1769688663893,519437460271840,91.30380223862039,-15.88415645264013,-1.981456020910682
OrientationDeg,1769688663901,519437468535835,91.31416363559129,-15.880652565595915,-1.968591786495786
OrientationDeg,1769688663909,519437476791073,91.32466163634558,-15.875702385994948,-1.9580459744172862
OrientationDeg,1769688663918,519437485081408,91.33308325959223,-15.87136521587199,-1.9523241968835197
OrientationDeg,1769688663926,519437493343298,91.33963341100628,-15.868040621293487,-1.9475360208319292
OrientationDeg,1769688663934,519437501613298,91.34412767548014,-15.86785962128048,-1.941882331746451
OrientationDeg,1769688663942,519437509900478,91.34621088317698,-15.871588904567307,-1.9411433906556204
